raw_class,display_class,path,error
No Entry,No Entry,/home/wizard/Projects/school/AI/submissions/assets/Traffic_Sign_2/Train/No Entry/00014_00022_00009.png,cannot identify image file '/home/wizard/Projects/school/AI/submissions/submission_v2/datasets/vision/Train/No Entry/00014_00022_00009.png'
No Entry,No Entry,/home/wizard/Projects/school/AI/submissions/assets/Traffic_Sign_2/Train/No Entry/00014_00025_00008.png,cannot identify image file '/home/wizard/Projects/school/AI/submissions/submission_v2/datasets/vision/Train/No Entry/00014_00025_00008.png'
No Entry,No Entry,/home/wizard/Projects/school/AI/submissions/assets/Traffic_Sign_2/Train/No Entry/00016_00001_00020.png,cannot identify image file '/home/wizard/Projects/school/AI/submissions/submission_v2/datasets/vision/Train/No Entry/00016_00001_00020.png'
No Entry,No Entry,/home/wizard/Projects/school/AI/submissions/assets/Traffic_Sign_2/Train/No Entry/00017_00008_00017.png,cannot identify image file '/home/wizard/Projects/school/AI/submissions/submission_v2/datasets/vision/Train/No Entry/00017_00008_00017.png'
No Entry,No Entry,/home/wizard/Projects/school/AI/submissions/assets/Traffic_Sign_2/Train/No Entry/00017_00010_00016.png,cannot identify image file '/home/wizard/Projects/school/AI/submissions/submission_v2/datasets/vision/Train/No Entry/00017_00010_00016.png'
SpeedLimit,SpeedLimit,/home/wizard/Projects/school/AI/submissions/assets/Traffic_Sign_2/Train/SpeedLimit/00004_00034_00024.png,cannot identify image file '/home/wizard/Projects/school/AI/submissions/submission_v2/datasets/vision/Train/SpeedLimit/00004_00034_00024.png'
SpeedLimit,SpeedLimit,/home/wizard/Projects/school/AI/submissions/assets/Traffic_Sign_2/Train/SpeedLimit/00004_00037_00026.png,cannot identify image file '/home/wizard/Projects/school/AI/submissions/submission_v2/datasets/vision/Train/SpeedLimit/00004_00037_00026.png'
SpeedLimit,SpeedLimit,/home/wizard/Projects/school/AI/submissions/assets/Traffic_Sign_2/Train/SpeedLimit/00005_00015_00002.png,cannot identify image file '/home/wizard/Projects/school/AI/submissions/submission_v2/datasets/vision/Train/SpeedLimit/00005_00015_00002.png'
SpeedLimit,SpeedLimit,/home/wizard/Projects/school/AI/submissions/assets/Traffic_Sign_2/Train/SpeedLimit/00005_00028_00008.png,cannot identify image file '/home/wizard/Projects/school/AI/submissions/submission_v2/datasets/vision/Train/SpeedLimit/00005_00028_00008.png'
SpeedLimit,SpeedLimit,/home/wizard/Projects/school/AI/submissions/assets/Traffic_Sign_2/Train/SpeedLimit/00007_00040_00015.png,cannot identify image file '/home/wizard/Projects/school/AI/submissions/submission_v2/datasets/vision/Train/SpeedLimit/00007_00040_00015.png'
SpeedLimit,SpeedLimit,/home/wizard/Projects/school/AI/submissions/assets/Traffic_Sign_2/Train/SpeedLimit/00008_00000_00023.png,cannot identify image file '/home/wizard/Projects/school/AI/submissions/submission_v2/datasets/vision/Train/SpeedLimit/00008_00000_00023.png'
SpeedLimit,SpeedLimit,/home/wizard/Projects/school/AI/submissions/assets/Traffic_Sign_2/Train/SpeedLimit/00008_00027_00002.png,cannot identify image file '/home/wizard/Projects/school/AI/submissions/submission_v2/datasets/vision/Train/SpeedLimit/00008_00027_00002.png'
